,Movie Name,Review Star Avg
255,마녀,평균 ★2.7 (2만명)
256,런,평균 ★3.6 (5만명)
257,해피 데스데이,평균 ★3.2 (10만명)
258,기억의 밤,평균 ★3.1 (8만명)
259,리미트리스,평균 ★3.9 (42만명)
260,천사와 악마,평균 ★3.5 (25만명)
261,화차,평균 ★3.5 (57만명)
262,웃는 남자,평균 ★2.9 (2만명)
263,백야행 - 하얀 어둠 속을 걷다,평균 ★3.0 (9만명)
264,줄리아의 눈,평균 ★3.3 (3만명)
265,적인걸2: 신도해왕의 비밀,"평균 ★2.9 (6,801명)"
266,오드 토머스,평균 ★3.1 (2만명)
267,인페르노,평균 ★3.4 (8만명)
268,조용한 세상,평균 ★2.8 (1만명)
269,이레셔널 맨,평균 ★3.3 (1만명)
270,프랙처드,"평균 ★2.8 (5,034명)"
271,더 기프트,평균 ★3.2 (2만명)
272,용의자X,평균 ★3.3 (35만명)
273,곡성(哭聲),평균 ★3.8 (43만명)
274,더 룸,평균 ★3.3 (1만명)
275,내일의 기억,"평균 ★2.8 (4,667명)"
276,베스트셀러,평균 ★2.9 (5만명)
277,스마일,평균 ★3.8 (2만명)
278,시간위의 집,평균 ★2.8 (1만명)
279,콜,평균 ★4.0 (34만명)
280,클로버필드 10번지,평균 ★3.3 (8만명)
281,시크릿 인 데어 아이즈,"평균 ★3.1 (5,340명)"
282,그때 그사람들,평균 ★3.3 (7만명)
283,된장,"평균 ★2.9 (6,966명)"
284,다빈치 코드,평균 ★3.5 (35만명)
285,오큘러스,평균 ★3.0 (5만명)
286,소녀,평균 ★3.9 (3만명)
287,방법: 재차의,"평균 ★3.1 (6,258명)"
288,사바하,평균 ★3.2 (11만명)
289,살인의 추억,평균 ★4.1 (97만명)
290,레옹,평균 ★4.2 (72만명)
291,범죄도시2,평균 ★3.6 (9만명)
292,프리퀀시,평균 ★3.9 (13만명)
293,그랜 토리노,평균 ★3.9 (14만명)
294,대부 2,평균 ★4.0 (9만명)
295,그린 마일,평균 ★3.9 (10만명)
296,칼리토,평균 ★3.9 (2만명)
297,캐치 미 이프 유 캔,평균 ★4.1 (73만명)
298,타짜,평균 ★2.8 (7만명)
299,대부 3,평균 ★4.0 (9만명)
300,공공의 적,평균 ★3.2 (375명)
301,아메리칸 히스토리 X,평균 ★3.9 (5만명)
302,태양은 가득히,평균 ★3.8 (2만명)
303,어 퓨 굿 맨,평균 ★3.8 (10만명)
304,JFK,평균 ★3.7 (2만명)
305,대부,평균 ★4.0 (9만명)
306,히트,평균 ★3.7 (3만명)
307,무간도,평균 ★3.8 (6만명)
308,추격자,평균 ★4.1 (106만명)
309,세븐 데이즈,평균 ★3.5 (25만명)
310,내부자들: 디 오리지널,평균 ★4.1 (2만명)
311,도니 브래스코,평균 ★3.8 (3만명)
312,호텔 뭄바이,평균 ★3.8 (4만명)
