id,Movie Name,Naver Star,Director
522,장사리 : 잊혀진 영웅들,8.27,곽경택
523,포화 속으로,8.23,이재한
524,디파이언스,8.23,에드워드 즈윅
525,황시,8.15,로저 스포티스우드
526,태양의 눈물,8.08,안톤 후쿠아
527,인천상륙작전,8.04,이재한
528,스페셜 포스 : 블러드 마운틴,7.86,알퍼 카글락
529,님은 먼곳에,7.85,이준익
530,명장,7.81,진가신
531,제9중대,7.59,표도르 본다르추크
532,아버지의 깃발,7.45,클린트 이스트우드
533,묵공,7.31,장지량
534,삼국지: 명장 관우,7.3,맥조휘
535,알렉산더,7.02,올리버 스톤
536,적벽대전 2부 - 최후의 결전,7.02,오우삼
537,집결호,6.94,펑 샤오강
538,인천상륙작전 : 익스텐디드 에디션(확장판),6.93,이재한
539,적벽대전 1부 - 거대한 전쟁의 시작,6.81,오우삼
540,작은 연못,6.59,이상우
541,삼국지 - 용의 부활,6.52,이인항
542,서부전선,6.38,천성일
543,혈투,5.2,박훈정
544,"DMZ, 비무장지대",4.48,이규형
545,800,3.39,관후
546,클라우스,9.66,서지오 파블로스
547,디지몬 어드벤처 라스트 에볼루션 : 인연,9.51,타구치 토모히사
548,극장판 바이올렛 에버가든,9.5,이시다테 타이치
549,월-E,9.42,앤드류 스탠튼
550,명탐정 코난: 할로윈의 신부,9.41,미츠나카 스스무
551,센과 치히로의 행방불명,9.4,미야자키 하야오
552,토이 스토리 3,9.39,리 언크리치
553,씽2게더,9.38,가스 제닝스
554,주토피아,9.36,바이론 하워드
555,모노노케 히메,9.35,미야자키 하야오
556,오세암,9.35,성백엽
557,아기공룡 둘리 - 얼음별 대모험,9.35,김수정
558,알라딘,9.34,존 머스커
559,언더독,9.33,오성윤
560,천공의 성 라퓨타,9.33,미야자키 하야오
561,라푼젤,9.33,네이슨 그레노
562,업,9.33,피트 닥터
563,토이 스토리,9.33,존 라세터
564,드래곤 길들이기,9.33,딘 데블로이스
565,아이언 자이언트,9.32,브래드 버드
566,코코,9.32,리 언크리치
567,주먹왕 랄프,9.31,리치 무어
568,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,9.31,쿄고쿠 타카히코
569,소울,9.31,피트 닥터
570,바람계곡의 나우시카,9.3,미야자키 하야오
571,몬스터 주식회사 3D,9.3,피트 닥터
572,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,9.3,타카하시 와타루
573,뽀로로 극장판 보물섬 대모험,9.29,김현호
574,라이온 킹,9.29,로저 알러스
575,타잔,9.29,케빈 리마
576,명탐정 코난: 베이커가의 망령,9.29,코다마 켄지
577,극장판 귀멸의 칼날: 무한열차편,9.27,소토자키 하루오
578,이웃집 토토로,9.27,미야자키 하야오
579,드래곤 길들이기 3,9.26,딘 데블로이스
580,토이 스토리 2,9.25,존 라세터
581,동급생,9.24,나카무라 쇼코
582,인크레더블,9.24,브래드 버드
583,스피릿,9.24,켈리 애스버리
584,갓파 쿠와 여름방학을,9.24,하라 케이이치
585,미녀와 야수,9.24,게리 트러스데일
586,프린스 앤 프린세스,9.24,미셸 오슬로
587,크루즈 패밀리,9.23,커크 드 미코
588,명탐정 코난: 천공의 난파선,9.23,야마모토 야스이치로
589,극장판 헬로카봇 : 백악기 시대,9.23,최신규
590,고 녀석 맛나겠다,9.23,후지모리 마사야
591,극장판 주술회전 0,9.23,박성후
592,레드슈즈,9.23,홍성호
593,인크레더블 2,9.22,브래드 버드
594,러빙 빈센트,9.22,도로타 코비엘라
595,보루토 - 나루토 더 무비,9.22,야마시타 히로유키
596,살인의 추억,9.41,봉준호
597,레옹,9.38,뤽 베송
598,범죄도시2,9.34,이상용
599,프리퀀시,9.33,그레고리 호블릿
600,그랜 토리노,9.25,클린트 이스트우드
601,대부 2,9.21,프란시스 포드 코폴라
602,그린 마일,9.21,프랭크 다라본트
603,칼리토,9.21,브라이언 드 팔마
604,캐치 미 이프 유 캔,9.21,스티븐 스필버그
605,타짜,9.21,최동훈
606,대부 3,9.2,프란시스 포드 코폴라
607,공공의 적,9.19,강우석
608,아메리칸 히스토리 X,9.19,토니 케이
609,태양은 가득히,9.19,르네 클레망
610,어 퓨 굿 맨,9.17,로브 라이너
611,JFK,9.16,올리버 스톤
612,대부,9.16,프란시스 포드 코폴라
613,히트,9.12,마이클 만
614,무간도,9.11,맥조휘
615,추격자,9.09,나홍진
616,세븐 데이즈,9.05,원신연
617,내부자들: 디 오리지널,9.04,우민호
618,도니 브래스코,9.04,마이크 뉴웰
619,호텔 뭄바이,9.04,안소니 마라스
620,양들의 침묵,9.02,조나단 드미
621,끝까지 간다,9.01,김성훈
622,내부자들,9,우민호
623,종횡사해,8.97,오우삼
624,인비저블 게스트,8.96,오리올 파울로
