,Movie Name,Eng Name,Country,Time Line,Opening Date,Naver Star,Director,R rated,Actors
73,나니아 연대기 - 캐스피언 왕자,The Chronicles Of Narnia Prince Caspian,"영국, 미국",145분,2008.05.15 개봉,8.62,앤드류 애덤슨,전체 관람가,"벤 반스, 조지 헨리, 스캔다 케인즈, 윌리암 모즐리, 안나 팝플웰, nan, nan, nan, nan"
74,천국의 우편배달부,Postman To Heaven,대한민국,107분,2009.11.11 개봉,8.61,이형민,전체 관람가,"김재중, 한효주, 신구, 김창완, 주진모, nan, nan, nan, nan"
75,13층,The Thirteenth Floor,"독일, 미국",98분,1999.11.27 개봉,8.57,조세프 루스낵,12세 관람가,"크레이그 비에코, 그레첸 몰, 빈센트 도노프리오, 데니스 헤이스버트, 스티브 슈브, nan, nan, nan, nan"
76,천년여우 여우비,Yobi,대한민국,85분,2007.01.25 개봉,8.56,이성강,전체 관람가,"손예진, 공형진, 류덕환, 이향숙, 김소형, nan, nan, nan, nan"
77,스파이더위크가의 비밀,The Spiderwick Chronicles,미국,95분,2008.02.14 개봉,8.53,마크 워터스,전체 관람가,"프레디 하이모어, 메리 루이스 파커, 닉 놀테, 사라 볼거, 앤드류 맥카시, nan, nan, nan, nan"
78,록키 호러 픽쳐 쇼,The Rocky Horror Picture Show,"영국, 미국",100분,"2016.10.13 재개봉,  1998.06.20 개봉",8.51,짐 셔먼,청소년 관람불가,"팀 커리, 수잔 서랜든, 베리 보스트윅, 리처드 오브라이언, 패트리시아 퀸, nan, nan, nan, nan"
79,호빗: 다섯 군대 전투,The Hobbit The Battle of the Five Armies,"뉴질랜드, 미국",144분,"2021.12.02 재개봉,  2014.12.17 개봉",8.5,피터 잭슨,12세 관람가,"마틴 프리먼, 이안 맥켈런, 리처드 아미티지, 케이트 블란쳇, 올랜도 블룸, nan, nan, nan, nan"
80,호빗 : 스마우그의 폐허,The Hobbit  The Desolation of Smaug,"미국, 뉴질랜드",161분,"2021.11.24 재개봉,  2013.12.12 개봉",8.48,피터 잭슨,12세 관람가,"마틴 프리먼, 이안 맥켈런, 리처드 아미티지, 케이트 블란쳇, 올랜도 블룸, nan, nan, nan, nan"
81,아더와 미니모이: 제1탄 비밀 원정대의 출정,Arthur Et Les Minimoys,"미국, 프랑스",102분,2009.07.09 개봉,8.48,뤽 베송,전체 관람가,"프레디 하이모어, 미아 패로, 페니 밸포어, 더그 랜드, 아담 르페브리, nan, nan, nan, nan"
82,미스 페레그린과 이상한 아이들의 집,Miss Peregrines Home For Peculiar Children,미국,127분,2016.09.28 개봉,8.45,팀 버튼,12세 관람가,"에바 그린, 에이사 버터필드, 사무엘 L. 잭슨, 앨리슨 제니, 엘라 퍼넬, nan, nan, nan, nan"
83,호빗 : 뜻밖의 여정,The Hobbit An Unexpected Journey,"미국, 뉴질랜드",169분,"2021.11.18 재개봉,  2012.12.13 개봉",8.42,피터 잭슨,12세 관람가,"이안 맥켈런, 마틴 프리먼, 리처드 아미티지, 제임스 네스빗, 켄 스탓, nan, nan, nan, nan"
84,존 말코비치 되기,Being John Malkovich,미국,112분,2000.05.13 개봉,8.41,스파이크 존즈,청소년 관람불가,"존 쿠삭, 카메론 디아즈, 캐서린 키너, 오슨 빈, 메리 케이 플레이스, nan, nan, nan, nan"
85,"오늘 밤, 로맨스 극장에서",Color Me True,일본,109분,2018.07.11 개봉,8.38,타케우치 히데키,전체 관람가,"아야세 하루카, 사카구치 켄타로, 혼다 츠바사, 키타무라 카즈키, 나카오 아키요시, nan, nan, nan, nan"
86,불청객,The Uninvited,대한민국,66분,2010.09.30 개봉,8.33,이응일,12세 관람가,"김진식, 원강영, 이응일, None, None, nan, nan, nan, nan"
87,헝거게임: 캣칭 파이어,The Hunger Games Catching Fire,미국,146분,2013.11.21 개봉,8.31,프란시스 로렌스,15세 관람가,"제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스, 우디 해럴슨, 샘 클라플린, nan, nan, nan, nan"
88,비밀,Secret,일본,119분,"2014.03.27 재개봉,  2002.10.11 개봉",8.28,타키타 요지로,15세 관람가,"히로스에 료코, 코바야시 카오루, 키시모토 가요코, 카네코 켄, 이시다 유리코, nan, nan, nan, nan"
89,판의 미로 - 오필리아와 세 개의 열쇠,El Laberinto Del Fauno,"미국, 멕시코, 스페인",119분,"2019.05.02 재개봉,  2006.11.30 개봉",8.25,기예르모 델 토로,15세 관람가,"이바나 바쿠에로, 더그 존스, 세르지 로페즈, 아리아드나 길, 마리벨 베르두, nan, nan, nan, nan"
90,내안의 그놈,Inside me,대한민국,122분,2019.01.09 개봉,8.24,강효진,15세 관람가,"진영, 박성웅, 라미란, 이수민, 이준혁, nan, nan, nan, nan"
91,말레피센트,Maleficent,미국,97분,2014.05.29 개봉,8.22,로버트 스트롬버그,12세 관람가,"안젤리나 졸리, 엘르 패닝, 샬토 코플리, 주노 템플, 브렌튼 스웨이츠, nan, nan, nan, nan"
92,캐리비안의 해적 - 세상의 끝에서,Pirates Of The Caribbean At Worlds End,미국,168분,2007.05.23 개봉,8.21,고어 버빈스키,12세 관람가,"조니 뎁, 올랜도 블룸, 키이라 나이틀리, 스텔란 스카스가드, 빌 나이, nan, nan, nan, nan"
93,인랑,JINROH The Wolf Brigade,일본,98분,"2019.09.04 재개봉,  2000.12.01 개봉",8.21,오키우라 히로유키,15세 관람가,"후지키 요시카츠, None, None, None, None, nan, nan, nan, nan"
94,경계선,GRANS,"스웨덴, 덴마크",110분,2019.10.24 개봉,8.21,알리 아바시,청소년 관람불가,"에바 멜란데르, 에로 밀로노프, 요르겐 토르손, 앤 페트렌, 스텐 륜그렌, nan, nan, nan, nan"
95,슬리피 할로우,Sleepy Hollow,미국,111분,2000.01.29 개봉,8.19,팀 버튼,청소년 관람불가,"조니 뎁, 크리스티나 리치, 미란다 리차드슨, 마이클 갬본, 캐스퍼 반 디엔, nan, nan, nan, nan"
96,신비한 동물사전,Fantastic Beasts and Where to Find Them,"영국, 미국",132분,"2022.03.23 재개봉,  2016.11.16 개봉",8.18,데이빗 예이츠,12세 관람가,"에디 레드메인, 콜린 파렐, 캐서린 워터스턴, 앨리슨 수돌, 댄 포글러, nan, nan, nan, nan"
97,메리 포핀스 리턴즈,Mary Poppins Returns,미국,130분,2019.02.14 개봉,8.16,롭 마샬,전체 관람가,"에밀리 블런트, 린-마누엘 미란다, 벤 위쇼, 에밀리 모티머, 줄리 월터스, nan, nan, nan, nan"
98,케이트 앤 레오폴드,Kate  Leopold,미국,118분,2003.10.31 개봉,8.12,제임스 맨골드,12세 관람가,"멕 라이언, 휴 잭맨, 리브 슈라이버, 브레킨 메이어, 나타샤 리온, nan, nan, nan, nan"
99,환생,Resurrection,일본,104분,2003.10.31 개봉,8.1,시오타 아키히코,전체 관람가,"쿠사나기 츠요시, 다케우치 유코, 아이카와 쇼우, 야마모토 케이치, 키타바야시 타니에, nan, nan, nan, nan"
100,뱀파이어와의 인터뷰,Interview With The Vampire The Vampire Chronicles,미국,123분,1994.12.31 개봉,9.12,닐 조던,청소년 관람불가,"톰 크루즈, 브래드 피트, 안토니오 반데라스, 스티븐 레아, 크리스찬 슬레이터, nan, nan, nan, nan"
101,에이리언,Alien,미국,117분,1987.10.01 개봉,9.12,리들리 스콧,15세 관람가,"톰 스커릿, 시고니 위버, 베로니카 카트라이트, 해리 딘 스탠튼, 존 허트, nan, nan, nan, nan"
102,싸이코,Psycho,미국,109분,1962.07.28 개봉,9.1,알프레드 히치콕,청소년 관람불가,"안소니 퍼킨스, 베라 마일즈, 존 게빈, 마틴 발삼, 존 맥킨타이어, nan, nan, nan, nan"
103,죠스,Jaws,미국,124분,1978.04.22 개봉,8.96,스티븐 스필버그,12세 관람가,"로이 샤이더, 로버트 쇼, 리차드 드레이퓨즈, 로레인 게리, 머레이 해밀턴, nan, nan, nan, nan"
104,무서운 집,Scary house,대한민국,98분,"2015.08.08 재개봉,  2015.07.30 개봉",8.91,양병간,12세 관람가,"구윤희, 양병간, None, None, None, nan, nan, nan, nan"
105,사탄의 인형,Childs Play,미국,87분,1991.10.26 개봉,8.85,톰 홀랜드,15세 관람가,"캐서린 힉스, 크리스 서랜던, 알렉스 빈센트, 브래드 듀리프, 디나 마노프, nan, nan, nan, nan"
106,"장화, 홍련",A Tale Of Two Sisters,대한민국,118분,2003.06.13 개봉,8.78,김지운,12세 관람가,"임수정, 염정아, 김갑수, 문근영, 박미현, nan, nan, nan, nan"
107,알 포인트,RPoint,대한민국,106분,2004.08.20 개봉,8.77,공수창,15세 관람가,"감우성, 손병호, 박원상, 오태경, 이선균, nan, nan, nan, nan"
108,블레이드 2,Blade,미국,116분,2002.04.05 개봉,8.75,길예르모 델 토로,청소년 관람불가,"웨슬리 스나입스, 크리스 크리스토퍼슨, 론 펄먼, 레오노어 바레라, 노만 리더스, nan, nan, nan, nan"
109,딥 블루 씨,Deep Blue Sea,미국,104분,1999.09.11 개봉,8.69,레니 할린,12세 관람가,"세프론 버로우스, 토마스 제인, LL 쿨 J, 자클린 맥켄지, 마이클 래파포트, nan, nan, nan, nan"
110,플라이,The Fly,미국,100분,1988.08.13 개봉,8.62,데이빗 크로넨버그,청소년 관람불가,"제프 골드브럼, 지나 데이비스, 존 게츠, 조이 부쉘, 레슬리 카슨, nan, nan, nan, nan"
111,엑소시스트,The Exorcist,미국,132분,"2001.05.19 재개봉,  1975.05.24 개봉",8.6,윌리엄 프리드킨,15세 관람가,"엘렌 버스틴, 막스 폰 시도우, 린다 블레어, 리J.콥, 키티 윈, nan, nan, nan, nan"
112,카메라를 멈추면 안 돼!,One Cut of the Dead,일본,95분,2018.08.23 개봉,8.57,우에다 신이치로,15세 관람가,"하마츠 타카유키, 아키야마 유즈키, 나가야 카즈아키, 슈하마 하루미, 마오, nan, nan, nan, nan"
